Customer Id,Emp Title,Emp Length,Home Ownership,Annual Inc,Annual Inc Joint,Verification Status,Zip Code,Addr State,Avg Cur Bal,Tot Cur Bal,Loan Id,Loan Status,Loan Amount,State,Funded Amount,Term,Int Rate,Grade,Issue Date,Pymnt Plan,Type,Purpose,Description
Yid6XHg5Y1x4YWRceDhkXHgwZVx4ZDhceGFlXHg5Y1x4OWNceGZib1gtRi5ceDg1XHhjNTtkM1x4YTNGXHg5Mlx4YjdceGIzXHgxZVx4MDFceDliXHhiNlx4ZGZkXFwn,Store Manager,2 years,MORTGAGE,77500.0,,Source Verified,550xx,MN,50693.0,354848.0,146317,Current,15000.0,MN,15000.0, 36 months,0.0667,3,18 October 2018,False,Individual,debt_consolidation,Debt consolidation
Yid9XHg4Ylx4ODdceGZlUVx4MWFcXFx4ZjZceDg0XHhhNlx4YzdmXHJcblx4YjFceGNmXHhjMVx4ODhcclx4ODZceGJkblx4ZWRcblx4ZTdceGE3XHhkNFx4MDR7XHhiYX1IJw==,Mortgage Loan Officer,5 years,MORTGAGE,105000.0,,Source Verified,481xx,MI,32471.0,292239.0,218466,Fully Paid,24000.0,MI,24000.0, 60 months,0.1299,14,16 February 2016,False,INDIVIDUAL,debt_consolidation,Debt consolidation
YidceDBmXHhiY05ceGY4V1x4OTBceDgxXHhlOFx4ODBceDFmXHhhNFx4OWI3XHgxOVx4YjhceGU1XHg4NFx4OTdNR1x4YmVUalx4ZTdceGU3XHhjMDtceGZlRlx4ODlceDhkRCc=,Supervisor ,2 years,MORTGAGE,77500.0,,Verified,447xx,OH,11494.0,183911.0,240070,Charged Off,30000.0,OH,30000.0, 60 months,0.2199,30,15 July 2015,False,Individual,debt_consolidation,Debt consolidation
YidceGI3XHhlMFx4MWU1XHhhZVx4YjVceGE0WVx4ZjJceDE0XHg4ZVx4OWY0XHhiODI2XHgxOURceGRjXHgwMFx4OTAqXHhlZUhceDlmXHhkM2pceGEwcFhceGFjZSc=,Teacher,10+ years,MORTGAGE,59000.0,,Not Verified,752xx,TX,6490.0,136299.0,53658,Fully Paid,7000.0,TX,7000.0, 36 months,,9,15 July 2015,False,Individual,debt_consolidation,Debt consolidation
Yidxb3l1XHhlMUZceGQ2XHg4YVx4YWJceDE0XHhkNlx4ZWRceGZlXHhhMTpceDljXHhlMVx4MTcuXHg4Nk1ceDg1P0VceGExXHhkNFx4OGJceDE5MFx4YzlceGQ5XHgxMic=,Electronics Repair Technician ,4 years,RENT,85000.0,,Source Verified,551xx,MN,6051.0,36307.0,15383,Current,3600.0,MN,3600.0, 36 months,0.1139,8,16 December 2016,False,INDIVIDUAL,major_purchase,Major purchase
YicvXHgxOE5WdFx4YjVGXHhlY1x4ZDFceDkxbFx4YmZceGQxXHgwMTxNcVx4YWQ3VVx4N2ZceGEyXHgxYUhceDEwOk9ceDljXHg5ZFx4ZmFceDlmXHhhNic=,Professor ,3 years,MORTGAGE,80000.0,145000.0,Verified,484xx,MI,17394.0,191330.0,235626,Current,28000.0,MI,28000.0, 36 months,0.1072,9,19 January 2019,False,Joint App,major_purchase,Major purchase
YiIqRW5uXHhkNCczXHhkYUxceGVlXHhjMFx4OGVceGY5XHgxNDB8XHhjOFx4YTBceGExXHhhZVx4YjhceGM0XHhjNFx4MDRceGY3Y1x4N2YnXHg5Ym8+XHhjMCI=,Service Manager,10+ years,MORTGAGE,88552.0,,Not Verified,782xx,TX,16257.0,260105.0,191678,Current,20000.0,TX,20000.0, 36 months,0.1047,9,18 October 2018,False,Individual,debt_consolidation,Debt consolidation
YidceGUzYHJTXHhlMFx4MDZceGNmLFx4ZjlfWlx4YWZceGQ4XHg4ZFx4ODVceDA3cnghXHhmNFx4MGV2XHhkNSklXHhiZFx4Y2RceGJkcFx4YWI2SCc=,Receptionist,< 1 year,RENT,14000.0,54000.0,Verified,928xx,CA,2651.0,10605.0,156390,Charged Off,15000.0,CA,15000.0, 60 months,0.1359,11,17 September 2017,False,Joint App,debt_consolidation,Debt consolidation
YidceGY5Z31ceGVlXHhmNClceGE4XHhkNFx4ZTBQXHg5NVx4MWZceDFlXHhiOC1nXHgwMWxuXHhjNV5BMVx4ZjFceDliXHhlZE0qOztZXHhmYSc=,melter,3 years,RENT,56000.0,,Not Verified,606xx,IL,2849.0,34187.0,8259,Fully Paid,2700.0,IL,2700.0, 36 months,0.1757,17,15 April 2015,False,Individual,debt_consolidation,Debt consolidation
YidceGQ5SVx4MDNceGZlXHhiNFx4ZWFceDlkXHgwNHRceGRjPFx4MWVFNCVceDk0XHgwYlpceDhldFx4YTNceGE5Ni1ceGQ3cFx4YjAiZ1x4MTYrWic=,Registered Nurse,2 years,MORTGAGE,128756.0,,Source Verified,544xx,WI,4797.0,119931.0,179572,Current,18000.0,WI,18000.0, 60 months,0.1072,10,18 December 2018,False,Individual,debt_consolidation,Debt consolidation
YidceGZiXHgwYjtoXHRceGZhXHhmMVx4ODBsXHhhMVx4YTFceDA3NFx4OGZceGU5XHg5Ylx4Y2NceDgwXHhiMVx4ZTgjXHhiN343XHhjOXtXXlx4ZTdceGQzIk8n,Nissan Master Technician ,10+ years,OWN,135000.0,,Source Verified,300xx,GA,24816.0,223348.0,171117,Current,16800.0,GA,16800.0, 36 months,0.0646,2,19 October 2019,False,Individual,other,Other
YiJceGYxXHgxMj9ceGM2P1x4MGZYXHg4NH5ceDE5XHhhNXJEWlx4MDFceDdmXHg4MFx4MTdceGUyXHgxNCdceGU1KFx4YjdEXHhkMVx4MDNceGI2SVx4OTVxXHg5OCI=,Caregiver,10+ years,RENT,38400.0,,Not Verified,903xx,CA,1432.0,21482.0,153379,Current,15000.0,CA,15000.0, 36 months,0.1614,11,18 July 2018,False,Individual,debt_consolidation,Debt consolidation
YidceDFhXHg4ZVxcblx4ZDFceDliTzBceDE2Olx4YWRceGE0XHhmN1x4OTExWU9ceDljXHRceGJkXHgwZlx4OWJceGE3XHhiZVx4Y2RceGQ0OVx4ODNceDlmXHhmOVx4OTRbJw==,Assembly,3 years,MORTGAGE,50000.0,,Verified,494xx,MI,14832.0,133484.0,116066,Current,12000.0,MI,12000.0, 36 months,0.0607,4,18 March 2018,False,Individual,debt_consolidation,Debt consolidation
