Feature,Original,Imputed
emp_length,2 years,2
emp_length,5 years,5
emp_length,10+ years,10
emp_length,4 years,4
emp_length,3 years,3
emp_length,< 1 year,0
emp_length,9 years,9
emp_length,6 years,6
emp_length,7 years,7
emp_length,1 year,1
emp_length,missing,10
emp_length,8 years,8
emp_length,missing,3
addr_state,MN,22
addr_state,MI,21
addr_state,OH,34
addr_state,TX,42
addr_state,CA,4
addr_state,IL,13
addr_state,WI,47
addr_state,GA,10
addr_state,LA,17
addr_state,FL,9
addr_state,IN,14
addr_state,NJ,30
addr_state,NY,33
addr_state,KY,16
addr_state,NC,26
addr_state,AK,0
addr_state,AZ,3
addr_state,TN,41
addr_state,MA,18
addr_state,OR,36
addr_state,MO,23
addr_state,AR,2
addr_state,CT,6
addr_state,MS,24
addr_state,VA,44
addr_state,UT,43
addr_state,NV,32
addr_state,NM,31
addr_state,AL,1
addr_state,PA,37
addr_state,SD,40
addr_state,WA,46
addr_state,NE,28
addr_state,MD,19
addr_state,WV,48
addr_state,KS,15
addr_state,RI,38
addr_state,ME,20
addr_state,SC,39
addr_state,DE,8
addr_state,CO,5
addr_state,NH,29
addr_state,OK,35
addr_state,ND,27
addr_state,WY,49
addr_state,HI,11
addr_state,VT,45
addr_state,DC,7
addr_state,ID,12
addr_state,MT,25
state,MN,22
state,MI,21
state,OH,34
state,TX,42
state,CA,4
state,IL,13
state,WI,47
state,GA,10
state,LA,17
state,FL,9
state,IN,14
state,NJ,30
state,NY,33
state,KY,16
state,NC,26
state,AK,0
state,AZ,3
state,TN,41
state,MA,18
state,OR,36
state,MO,23
state,AR,2
state,CT,6
state,MS,24
state,VA,44
state,UT,43
state,NV,32
state,NM,31
state,AL,1
state,PA,37
state,SD,40
state,WA,46
state,NE,28
state,MD,19
state,WV,48
state,KS,15
state,RI,38
state,ME,20
state,SC,39
state,DE,8
state,CO,5
state,NH,29
state,OK,35
state,ND,27
state,WY,49
state,HI,11
state,VT,45
state,DC,7
state,ID,12
state,MT,25
grade,3,A
grade,14,C
grade,30,F
grade,9,B
grade,8,B
grade,11,C
grade,17,D
grade,10,B
grade,2,A
grade,4,A
grade,7,B
grade,16,D
grade,15,C
grade,6,B
grade,21,E
grade,28,F
grade,20,D
grade,12,C
grade,5,A
grade,27,F
grade,1,A
grade,19,D
grade,13,C
grade,33,G
grade,18,D
grade,34,G
grade,24,E
grade,23,E
grade,22,E
grade,35,G
grade,25,E
grade,32,G
grade,26,F
grade,29,F
grade,31,G
grade,3,0
grade,14,2
grade,30,5
grade,9,1
grade,8,1
grade,11,2
grade,17,3
grade,10,1
grade,2,0
grade,4,0
grade,7,1
grade,16,3
grade,15,2
grade,6,1
grade,21,4
grade,28,5
grade,20,3
grade,12,2
grade,5,0
grade,27,5
grade,1,0
grade,19,3
grade,13,2
grade,33,6
grade,18,3
grade,34,6
grade,24,4
grade,23,4
grade,22,4
grade,35,6
grade,25,4
grade,32,6
grade,26,5
grade,29,5
grade,31,6
annual_inc_joint,Nan,0
home_ownership,OTHER,ANY
