,Feature,Original,Imputed
0,emp_length,2 years,2
1,emp_length,5 years,5
2,emp_length,10+ years,10
3,emp_length,4 years,4
4,emp_length,3 years,3
5,emp_length,< 1 year,0
6,emp_length,9 years,9
7,emp_length,6 years,6
8,emp_length,7 years,7
9,emp_length,1 year,1
10,emp_length,missing,10
11,emp_length,8 years,8
12,emp_length,missing,3
13,addr_state,MN,22
14,addr_state,MI,21
15,addr_state,OH,34
16,addr_state,TX,42
17,addr_state,CA,4
18,addr_state,IL,13
19,addr_state,WI,47
20,addr_state,GA,10
21,addr_state,LA,17
22,addr_state,FL,9
23,addr_state,IN,14
24,addr_state,NJ,30
25,addr_state,NY,33
26,addr_state,KY,16
27,addr_state,NC,26
28,addr_state,AK,0
29,addr_state,AZ,3
30,addr_state,TN,41
31,addr_state,MA,18
32,addr_state,OR,36
33,addr_state,MO,23
34,addr_state,AR,2
35,addr_state,CT,6
36,addr_state,MS,24
37,addr_state,VA,44
38,addr_state,UT,43
39,addr_state,NV,32
40,addr_state,NM,31
41,addr_state,AL,1
42,addr_state,PA,37
43,addr_state,SD,40
44,addr_state,WA,46
45,addr_state,NE,28
46,addr_state,MD,19
47,addr_state,WV,48
48,addr_state,KS,15
49,addr_state,RI,38
50,addr_state,ME,20
51,addr_state,SC,39
52,addr_state,DE,8
53,addr_state,CO,5
54,addr_state,NH,29
55,addr_state,OK,35
56,addr_state,ND,27
57,addr_state,WY,49
58,addr_state,HI,11
59,addr_state,VT,45
60,addr_state,DC,7
61,addr_state,ID,12
62,addr_state,MT,25
63,state,MN,22
64,state,MI,21
65,state,OH,34
66,state,TX,42
67,state,CA,4
68,state,IL,13
69,state,WI,47
70,state,GA,10
71,state,LA,17
72,state,FL,9
73,state,IN,14
74,state,NJ,30
75,state,NY,33
76,state,KY,16
77,state,NC,26
78,state,AK,0
79,state,AZ,3
80,state,TN,41
81,state,MA,18
82,state,OR,36
83,state,MO,23
84,state,AR,2
85,state,CT,6
86,state,MS,24
87,state,VA,44
88,state,UT,43
89,state,NV,32
90,state,NM,31
91,state,AL,1
92,state,PA,37
93,state,SD,40
94,state,WA,46
95,state,NE,28
96,state,MD,19
97,state,WV,48
98,state,KS,15
99,state,RI,38
100,state,ME,20
101,state,SC,39
102,state,DE,8
103,state,CO,5
104,state,NH,29
105,state,OK,35
106,state,ND,27
107,state,WY,49
108,state,HI,11
109,state,VT,45
110,state,DC,7
111,state,ID,12
112,state,MT,25
113,grade,3,A
114,grade,14,C
115,grade,30,F
116,grade,9,B
117,grade,8,B
118,grade,11,C
119,grade,17,D
120,grade,10,B
121,grade,2,A
122,grade,4,A
123,grade,7,B
124,grade,16,D
125,grade,15,C
126,grade,6,B
127,grade,21,E
128,grade,28,F
129,grade,20,D
130,grade,12,C
131,grade,5,A
132,grade,27,F
133,grade,1,A
134,grade,19,D
135,grade,13,C
136,grade,33,G
137,grade,18,D
138,grade,34,G
139,grade,24,E
140,grade,23,E
141,grade,22,E
142,grade,35,G
143,grade,25,E
144,grade,32,G
145,grade,26,F
146,grade,29,F
147,grade,31,G
148,grade,3,0
149,grade,14,2
150,grade,30,5
151,grade,9,1
152,grade,8,1
153,grade,11,2
154,grade,17,3
155,grade,10,1
156,grade,2,0
157,grade,4,0
158,grade,7,1
159,grade,16,3
160,grade,15,2
161,grade,6,1
162,grade,21,4
163,grade,28,5
164,grade,20,3
165,grade,12,2
166,grade,5,0
167,grade,27,5
168,grade,1,0
169,grade,19,3
170,grade,13,2
171,grade,33,6
172,grade,18,3
173,grade,34,6
174,grade,24,4
175,grade,23,4
176,grade,22,4
177,grade,35,6
178,grade,25,4
179,grade,32,6
180,grade,26,5
181,grade,29,5
182,grade,31,6
183,annual_inc_joint,Nan,0
184,home_ownership,OTHER,ANY
